t,frame_idx,ear,ear_threshold,blink_rate,smile_mm,smile_amplitude_mm,brow_mm,brow_amplitude_mm,asymmetry,asymmetry_std,gaze_dx,gaze_dy,gaze_x_std,gaze_y_std,face_distance_mm,tremor_chin_power_4_6hz,tremor_chin_dominant_hz,tremor_chin_motion_power,tremor_chin_lock_in,tremor_chin_pd_likelihood,tremor_lip_power_4_6hz,tremor_lip_dominant_hz,tremor_lip_motion_power,tremor_lip_lock_in,tremor_lip_pd_likelihood,head_yaw_deg,off_axis
0.263,4,0.4051,0.22,,51.17,0.0,21.07,0.0,0.0994,0.0,-0.0056,-0.0157,0.0,0.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,1
0.305,5,0.4197,0.22,,54.66,0.0,16.71,0.0,0.0617,0.0,-0.0034,-0.014,0.0,0.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0
0.346,6,0.4651,0.22,,64.67,0.0,23.53,0.0,0.0386,0.0,0.0003,-0.0143,0.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8,0
0.411,7,0.4542,0.22,,63.06,0.0,21.74,0.0,0.0489,0.0,0.0021,-0.0161,0.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0
0.453,8,0.4918,0.22,,58.86,13.49,20.13,6.82,0.0308,0.0,-0.002,-0.0183,0.0,0.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0
0.496,9,0.51,0.22,,67.78,16.61,22.06,6.82,0.0549,0.0111,0.0008,-0.0182,0.002,0.0019,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.3,0
0.544,10,0.4996,0.22,,65.77,16.61,20.93,6.82,0.0412,0.0104,-0.001,-0.0201,0.0018,0.0022,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0
0.568,11,0.4838,0.22,,70.05,18.88,21.63,6.82,0.0267,0.0117,-0.001,-0.0179,0.0017,0.0021,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0
0.607,12,0.4796,0.22,,62.89,18.88,20.96,6.82,0.0297,0.0119,-0.0013,-0.0193,0.0016,0.0021,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
0.661,13,0.4754,0.22,,76.45,25.28,22.31,6.82,0.0426,0.0112,-0.0003,-0.0207,0.0015,0.0023,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.9,0
0.687,14,0.4748,0.22,,68.04,25.28,21.77,6.82,0.0273,0.0115,-0.0015,-0.0213,0.0015,0.0024,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0
0.727,15,0.4582,0.22,,81.12,29.95,20.14,6.82,0.0263,0.0116,-0.0019,-0.0173,0.0014,0.0023,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0
0.765,16,0.4766,0.22,,76.62,29.95,22.61,6.82,0.0287,0.0115,-0.0019,-0.0201,0.0014,0.0023,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
0.804,17,0.4869,0.22,,65.14,29.95,22.89,6.82,0.0261,0.0115,-0.0009,-0.0202,0.0014,0.0023,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0
0.843,18,0.4865,0.22,,67.73,29.95,22.08,6.82,0.0543,0.0119,0.0009,-0.0193,0.0014,0.0022,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.2,0
0.883,19,0.4739,0.22,,69.31,29.95,22.75,6.82,0.0287,0.0118,-0.0006,-0.0187,0.0013,0.0021,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,0
0.923,20,0.4803,0.22,,76.14,29.95,19.86,6.82,0.0287,0.0116,-0.0032,-0.0185,0.0014,0.0021,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0
0.958,21,0.4551,0.22,,76.7,29.95,24.05,7.33,0.0242,0.0117,-0.0022,-0.0201,0.0014,0.002,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
0.997,22,0.4893,0.22,,77.44,29.95,20.94,7.33,0.0208,0.0119,-0.0017,-0.0193,0.0014,0.002,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.037,23,0.4655,0.22,,74.7,29.95,21.66,7.33,0.0224,0.012,-0.0012,-0.0185,0.0013,0.0019,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0
1.078,24,0.4488,0.22,,79.66,29.95,21.47,7.33,0.0328,0.0117,0.0001,-0.0188,0.0013,0.0019,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0
1.115,25,0.4579,0.22,,80.65,29.95,23.98,7.33,0.0274,0.0115,-0.0023,-0.0185,0.0013,0.0018,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0
1.154,26,0.4833,0.22,,86.72,35.55,21.48,7.33,0.034,0.0112,-0.0012,-0.0185,0.0013,0.0018,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,0
1.193,27,0.4953,0.22,,84.11,35.55,20.8,7.33,0.0319,0.011,0.0006,-0.0184,0.0013,0.0018,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6,0
